Date;Open;High;Low;Close;Volume;Monat
31.01.2012;93,9615;113,126;93,6372;112,165;2238854,913;1
29.02.2012;113,025;117,889;92,2223;102,143;2246000,408;
31.03.2012;102,639;107,516;92,56;99,9811;1725002,928;
30.04.2012;100,778;109,327;99,2487;109,327;1355096,541;
31.05.2012;110,275;111,625;77,4096;78,9259;2286376,004;
30.06.2012;77,4673;97,7028;74,4145;93,8172;1489475,835;
31.07.2012;94,5211;101,131;87,2657;100,01;1037601,587;
31.08.2012;99,8288;105,29;94,5362;101,654;995103,0843;
30.09.2012;101,532;109,419;96,5392;104,169;872280,7554;
31.10.2012;104,104;110,648;99,3842;107,229;726437,7662;
30.11.2012;106,173;111,344;92,5163;106,008;921992,9642;
31.12.2012;106,021;106,948;98,1421;101,942;440732,1203;
31.01.2013;104,607;121,166;102,179;109,614;1219586,887;
28.02.2013;110,678;112,322;98,9253;107,99;925274,073;
31.03.2013;108,192;109,419;99,5062;101,733;788505,9877;
30.04.2013;101,684;109,657;93,1846;107,02;912828,968;
31.05.2013;107,135;111,863;98,0049;100,857;3804012,021;
30.06.2013;102,387;104,413;87,4307;96,5535;1740450,728;
31.07.2013;95,1893;99,1258;88,2135;92,2223;1299218,855;
31.08.2013;92,2223;94,2618;76,7563;81,0442;1926200,186;
30.09.2013;79,6723;82,6317;76,3398;77,2159;978220,0603;
31.10.2013;75,2547;85,4339;73,4016;77,4243;1600010,363;
30.11.2013;76,0161;80,7642;74,4502;76,4758;1297907,525;
31.12.2013;76,1674;76,3398;65,9134;71,814;2430771,241;
31.01.2014;71,1603;79,5294;71,1603;77,5177;1162812,708;
28.02.2014;77,87;90,5125;74,5941;88,4723;1308311,856;
31.03.2014;87,5463;97,6387;87,4096;94,4489;1429573,674;
30.04.2014;94,4997;97,7394;90,8644;95,1172;753333,9491;
31.05.2014;93,8537;94,7002;86,2532;87,2519;791304,0482;
30.06.2014;86,842;87,2876;80,8503;84,8371;851149,134;
31.07.2014;85,1032;87,4234;73,9043;77,2159;960258,1822;
31.08.2014;77,1655;80,0252;70,3385;70,9476;1118578,294;
30.09.2014;70,7629;72,9057;62,2928;63,5902;1080210,063;
31.10.2014;63,4429;64,7856;49,8287;56,4052;1413385,293;
30.11.2014;56,8247;57,5618;50,0794;50,8862;1241516,165;
31.12.2014;50,8862;51,0794;40,3679;46,15;2118088,672;
31.01.2015;47,2893;57,9971;45,1069;55,4405;1007296,225;
28.02.2015;55,911;69,4139;52,1187;68,3665;1255605,304;
31.03.2015;68,7983;70,4475;61,9222;64,1146;890850,9681;
30.04.2015;63,8653;71,4339;63,1362;70,9886;682563,8986;
31.05.2015;70,9886;78,5883;69,7493;71,6702;963373,6346;
30.06.2015;71,7062;71,9074;60,9503;63,5262;677623,4425;
31.07.2015;64,0125;65,5714;60,1456;64,6706;578552,6105;
31.08.2015;64,8179;64,8179;51,1361;58,0157;1272865,579;
30.09.2015;57,4907;59,4697;48,5327;48,6901;966873,2984;
31.10.2015;48,6901;56,0316;46,0329;47,4918;969643,5176;
30.11.2015;47,7002;49,3653;42,1803;44,9912;797413,8431;
31.12.2015;44,7829;46,2936;37,0247;41,7113;1014917,808;
31.01.2016;40,0956;41,6071;24,84;28,3283;890397,1533;
29.02.2016;28,3283;41,6581;25,6718;37,9922;999145,6553;
31.03.2016;38,1008;47,7741;35,2899;45,1794;1033806,804;
30.04.2016;44,5861;48,045;37,993;47,017;1352256,719;
31.05.2016;47,7741;52,054;43,6666;50,0155;1081205,393;
30.06.2016;50,0155;54,4836;41,1854;45,6572;972885,6484;
31.07.2016;44,9309;46,9983;40,2968;40,85;745990,7803;
31.08.2016;40,7939;42,4296;32,3086;34,2526;1429705,921;
30.09.2016;34,5959;34,9379;28,5345;30,3067;982360,0763;
31.10.2016;30,3067;32,8231;25,1596;26,0754;1348727,822;
30.11.2016;25,8464;30,2499;23,159;28,3053;1097680,54;
31.12.2016;28,3053;36,4249;27,6768;34,3675;1717712,658;
31.01.2017;34,7677;39,7415;34,7101;36,3115;1163752,355;
28.02.2017;36,0254;37,9686;29,0208;29,6774;2375481,007;
31.03.2017;29,4482;30,4216;24,5886;26,5892;1843880,131;
30.04.2017;26,5324;29,0481;25,7321;28,0762;885859,0054;
31.05.2017;27,9052;28,4145;21,7648;21,9952;1221771,045;
30.06.2017;21,9371;24,2912;19,4114;20,0414;1441358,938;
31.07.2017;20,0995;23,4305;19,5838;20,846;734591,1198;
31.08.2017;20,846;21,0184;14,8168;14,9877;1052699,977;
30.09.2017;15,046;21,5363;14,9877;18,5486;890305,2767;
31.10.2017;18,377;21,8222;16,8836;20,4451;918060,3667;
30.11.2017;19,4681;20,9609;17,1701;18,6636;678739,8826;
31.12.2017;18,7778;23,029;17,2282;18,8361;2399284,011;
31.01.2018;18,9503;24,1194;18,8361;18,9503;2806580,004;
28.02.2018;18,8927;20,9609;16,2513;19,8122;1464428,321;
31.03.2018;19,6405;22,1095;18,2044;18,6636;876792,454;
30.04.2018;18,5486;19,2391;16,2816;16,3088;548433,7858;
31.05.2018;16,2513;18,6062;15,8505;16,826;1040739,312;
30.06.2018;16,941;19,4681;15,5344;18,9503;2177903,132;
31.07.2018;19,0084;22,9708;18,3202;19,4681;2395142,603;
31.08.2018;19,2964;22,3969;18,9503;22,3394;693657,3038;
30.09.2018;22,2245;22,3394;20,3876;21,8796;651924,4397;
31.10.2018;22,1095;24,9808;20,846;23,2;1086783,417;
30.11.2018;23,2582;24,6942;20,7885;21,3631;611392,932;
31.12.2018;21,5363;22,5692;17,803;19,5256;898738,4363;
31.01.2019;19,2391;22,5118;18,6636;20,6743;564332,6163;
28.02.2019;20,7885;24,0628;18,5486;23,029;1506236,357;
31.03.2019;23,2653;25,7522;22,7912;23,4428;674908,9061;
30.04.2019;23,4428;23,5613;20,3058;21,6663;566942,7474;
31.05.2019;21,8445;23,6677;20,7791;22,0973;384301,782;
30.06.2019;22,3394;24,6942;20,588;24,6942;331315,4247;
31.07.2019;24,1503;24,9355;21,313;24,3924;357468,2423;
31.08.2019;24,2108;24,9621;21,8969;22,0829;279125,3314;
30.09.2019;22,0211;24,8989;21,5205;24,2732;379604,9381;
31.10.2019;24,2732;24,3989;20,3941;20,6449;330432,8524;
30.11.2019;21,1562;21,5291;16,9374;18,2168;440197,5655;
31.12.2019;18,0243;19,9416;17,4496;19,8137;502857,4166;
31.01.2020;20,1334;20,1334;16,8167;16,8742;563408,2819;
29.02.2020;16,8095;17,8331;12,1438;12,1438;571721,7234;
31.03.2020;12,9117;13,3585;3,83502;6,58336;1217141,02;
30.04.2020;5,81637;6,83874;5,36834;6,26376;549963,6706;
31.05.2020;6,16794;6,39156;5,04868;5,8362;630369,6291;
30.06.2020;5,88024;8,88459;5,34277;5,43285;892543,7251;
31.07.2020;5,81637;6,77573;5,11326;6,39156;536946,4248;
31.08.2020;6,32755;7,3509;5,49749;5,87973;730771,2799;
30.09.2020;5,93591;5,93591;4,85831;5,54734;364467,5698;
31.10.2020;5,49678;5,49678;4,05483;4,1546;404344,8047;
30.11.2020;4,4102;6,04014;3,67489;5,76523;2202695,897;
31.12.2020;5,75243;10,5655;5,6949;10,2402;2829565,862;
31.01.2021;10,4054;11,9777;9,39615;10,0095;864500,4766;
28.02.2021;10,0669;17,9187;10,0669;16,5415;1291400,99;
31.03.2021;16,7146;26,1286;14,778;25,7903;2537687,779;
30.04.2021;26,1286;40,2566;26,1093;35,7999;2305876,119;
31.05.2021;36,1188;42,5675;30,3605;38,024;2004978,815;
30.06.2021;38,5096;43,9741;37,0772;39,5827;1468791,068;
31.07.2021;40,5676;43,2586;34,004;41,2321;1142398,002;
31.08.2021;42,0058;44,102;32,5982;37,8545;1914490,094;
30.09.2021;37,782;47,1751;37,6891;45,974;943872,1272;
31.10.2021;46,4223;57,5172;46,04;52,1676;1782765,478;
30.11.2021;52,6691;58,3096;51,0858;52,7501;1931154,563;
31.12.2021;52,6273;59,7952;51,0463;56,6114;1242304,076;
31.01.2022;57,9259;75,8363;56,653;69,791;2727245,939;
28.02.2022;70,1739;75,6858;66,4772;73,7246;2911668,754;
31.03.2022;75,9592;107,969;71,4447;99,1106;8639339,042;
30.04.2022;97,9407;129,117;95,0236;107,365;4052457,524;
31.05.2022;107,754;116,877;90,5561;94,775;3234430,376;
30.06.2022;94,6717;94,6717;72,5386;72,9625;3248720,305;
31.07.2022;73,0721;81,1097;58,6769;79,9478;2523329,246;
31.08.2022;80,847;111,49;78,1871;98,9378;3739905,868;
30.09.2022;97,7278;109,109;81,5448;91,1335;2207655,895;
31.10.2022;95,1956;106,457;92,3845;96,3663;1976442,832;
30.11.2022;89,9939;103,985;88,0032;103,839;2216648,618;
31.12.2022;104,325;104,325;77,3945;81,341;2140381,969;
31.01.2023;82,6511;86,2095;79,1688;80,1684;1261058,73;
28.02.2023;80,0632;91,8703;72,3804;91,8623;2665211,543;
31.03.2023;92,0165;95,7364;72,2692;79,4507;3105644,851;
30.04.2023;80,3684;84,8947;75,8777;79,9318;821122,5567;
31.05.2023;79,7447;93,4305;79,6734;81,68;2765769,66;
30.06.2023;82,11;87,25;77,76;80,68;1389762;
31.07.2023;82;94,38;80,51;93,16;1493034;
31.08.2023;87,53;91,82;72,21;74,81;2277790;
30.09.2023;74,93;83,83;74,93;82,61;611560;
31.10.2023;81,82;84,62;73,19;78,83;741024;
30.11.2023;79,21;81,55;66,32;68,12;1218766;
31.12.2023;68,25;73,56;60,5;65,5;1295297;
